Id,描述,场景路径,战斗类型(1普通，2战争，3肉鸽),最大队伍数量
Id,Desc,SceneName,BattleType,TeamCount
int,string,string,int,int
1,战斗测试,BattleDebugScene,2,2
10,第一关,NormalLevel_910,1,1
11,打动物,NormalLevel_911,1,1
12,打山贼,NormalLevel_912,1,1
13,拆别人家,NormalLevel_913,1,1
101,普通关卡1：剿匪,NormalLevel_01,1,1
102,普通关卡2：占领据点,NormalLevel_02_Attack,1,1
103,普通关卡3：守护据点,NormalLevel_02,1,1
104,普通关卡4：,NormalLevel_03,1,1
105,普通关卡5,NormalLevel_04,1,1
106,普通关卡6,,1,1
107,普通关卡7,NormalLevel_10,1,1
108,普通关卡8,,1,1
109,普通关卡9,,1,1
900,战争1，2队，简单图,WarLevel,2,2
901,战争2，4队，难度高。回复塔解毒,WarLevel_01,2,4
1000,肉鸽,NormalLevel_11,3,1
