Id,描述,怪物行为（0=原地不动，1主动寻找当前操控的队伍）,延迟时间,创建间隔,单次创建最大数量,怪物列表，按顺序刷新,创建时添加的buff,额外的技能,阵营覆盖,等级覆盖,额外Tag
Id,Desc,MonsterBehave,DelayTime,Interval,MaxCreationOnce,MonsterInfos,ExBuffs,ExSkills,FactionId,LevelOverride,ExTags
int,string,int,float,float,int,intTable,intTable,intTable,int,int,intArray
1,6弓兵+骑兵,,1,0.5,3,3001=6|3010=3|3021=3,110=1,,,100,
2,,,1,0,10,22=5|1=5,,,,,
3,,,1,0,1,9001=1,,,,,
4,,,1,0,1,8001=1|8002=1|3001=6,110=1,,,,
10101,1级的【3弓兵+4骑兵】,,1,0.5,10,3001=3|3010=4,110=1,,,100,
10102,7级的【2牧师+2剑兵】,,0,0,5,3121=4|3125=4,110=1,,,,
10202,Atk,,0,0.5,10,3001=3|3010=3|3024=2,110=1,,,,
10203,Atk,,0,0.5,10,3101=2|3110=3|3121=1,110=1,,,,
10204,Atk,,40,10,4,8001=1|3110=3|3101=4,110=1,,,,
10205,Def,,0,0.5,10,3121=5|3125=5,110=1,,,,
10211,Def,,0,30,7,3101=2|3110=3|3101=2|3110=3,110=1,,,,
10212,Def,,15,30,7,3101=3|3110=4|3101=3|3110=4,110=1,,,,
10213,Def,,0,0,3,8001=1|8002=1|3001=6,110=1,,,,
10301,,,0,30,3,8001=1|8002=1|8003=1|8001=1|3110=1|8003=1,110=1,,,,
10302,,,45,5,3,3110=3|3101=3,110=1,,,,
10303,,,15,10,5,8001=1|8002=1|8003=1|3125=4|8001=1|8003=1|3121=4,110=1,,,,
10401,战役关小怪-剑兵,,0,0,5,3025=5,110=1,,3,,
10402,战役关小怪-弓兵,,0,0,3,3001=3,110=1,,3,,
10403,战役关小怪-骑兵,,0,0,4,3010=4,110=1,,3,,
10404,战役关小怪-关底,,0,0,3,8001=1|8002=1|8003=1,110=1,,3,,
10405,战役关小怪-佣兵,,0,0,2,20001=1,,,2,,
10406,战役关小怪-车子,,0,0,1,8006=1,,,2,,
10407,战役关小怪-打车,,0,8,5,3025=3|3001=2|3025=3|3001=2|3025=3|3001=2|8003=1,,,,,
11001,塔防关,,0,4,3,3001=4|3010=4|3001=4|8002=1|3024=4|3001=4|3025=4|3001=4|3010=4,,,,,
11002,塔防关,,45,5,3,3001=4|3010=4|3024=4|3025=4|8002=1|8001=1,,,,,
90100,战争A：20剑兵,,,,,,,,,,
90110,战争A：BOSS1+BOSS2+BOSS3,,0,0,3,9501=1|9502=1,,,,100,
90112,战争A：BOSS2,,0,0,,,,,,,
90113,战争A：BOSS3,,0,0,,,,,,,
90010,战争B：BOSS,,3,0,1,9001=1,,9001002=1,,,
90011,左墓碑,,15,60,1,90011=3,,,,,
90012,右墓碑,,45,60,1,90011=3,,,,,
90013,精英怪,,30,60,1,9502=1,,,,,
100000,肉鸽天团,1,0,5,10,3010=10000,,999101=1,,,
100001,肉鸽远程,1,45,20,5,3001=10000,,999101=1,,,
100002,肉鸽精英,1,60,60,1,9502=10000,9001203=1,999101=1,,,
100003,肉鸽BOSS,1,200,60,2,9001=1|9502=1,,999101=1,,,100003
100004,肉鸽杂兵,1,0,5,15,3010=15,,999101=1,,,
100005,肉鸽远程,1,0,0,10,3001=10,,999101=1,,,
100006,肉鸽精英,1,0,0,1,8002=1,,999101=1,,,
91201,剿匪2,,0.5,10,7,3001=3|3010=4|3001=3|3010=4,110=1,,,,
91301,打敌人营地,,30,15,3,8001=1|3125=1|3121=1|8001=1|3125=1|3121=1,,,,,
91101,刷野猪,,0,10,6,91101=18,,,,,
