Id,TAG名称,TAG释义,TAG类型，1=单位tag、2=技能BDTag,父TAGId
Id,TagName,TagString,TagType,ParentTag
int,string,string,int,int
1,战斗单位,,1,
10,敌人类型,,,
11,玩家角色,,1,1
12,部队单位,,1,1
13,战斗建筑,,1,1
60,普通怪物,,1,10
61,精英怪物,,1,10
62,Boss,,1,61
63,世界BOSS,,1,62
64,活动BOSS,,1,62
65,暗夜君王,,1,62
66,霸主,,1,62
70,种族,,,
71,人,,1,70
72,史莱姆,,1,70
73,狗头人,,1,70
74,牛头人,,1,70
80,机械,,1,70
81,坦克,,1,80
82,装甲车,,1,80
90,性别,,,
91,无性,,1,90
92,男性,,1,90
93,女性,,1,90
95,造物属性,,,
96,召唤物,单位，该单位是召唤物,1,95
97,虚拟体,单位，该单位是虚拟体,1,95
1000,技能BDTag,,2,
1001,战斗技能,,2,1000
1002,基础技能,,2,1001
1003,核心技能,,2,1001
1004,次要技能,,2,1001
1005,被动技能,,2,1001
1006,终级技能,,2,1001
1007,自选技能,,2,1001
1008,占位,,2,1001
1009,占位,,2,1001
1010,攻击技能,,2,1000
1011,近战攻击技能,,2,1010
101101,斩击,,2,1011
101102,打击,,2,1011
101103,突刺,,2,1011
1012,远程攻击技能,,2,1010
101201,投射物,投射物技能，各种抛物线之类的,2,1012
101202,弹药型,子类型，子弹、炮弹类技能,2,101201
1020,辅助技能,,,1000
1021,治疗,,,1020
1022,护盾,,,1020
1023,净化,,,1020
1024,增益技能,,,1020
1025,减益技能,,,1020
1026,强化,,,1020
1040,释放方式,,,1000
1041,蓄力,,,1040
1042,充能,,,1040
1043,引导,角色一定时间内持续释放,,1040
1044,触发式技能,被动触发型的技能,,1040
1045,直线技能,,,1040
1046,方向技能,,,1040
1047,位置技能,,,1040
1048,目标技能,,,1040
1050,其他,,,1000
1051,机动,快速移动一段距离或跨越空间,,1050
1052,召唤,,,1050
1053,造物,,,1050
1054,陷阱,,,1053
1055,图腾,,,1053
1056,侍从,,,1050
1057,印记,为目标施加强力效果，并且有特殊标记作用用来判定,,1050
1058,变形,,,1050
1059,免疫,,,1050
1060,范围,,,1050
1061,光环,,,1050
1062,压制,,,1050
1100,技能属性,,,1000
1101,力量,,1,1100
1102,敏捷,,1,1100
1103,智力,,1,1100
1104,占位,,1,1100
1105,占位,,1,1100
1150,元素力,,1,1000
1151,物理,,1,1150
1152,元素力,,1,1150
1153,水,,1,1151
1154,火,,1,1151
1155,风,,1,1151
1156,土,,1,1151
1157,时,,1,1151
1158,空,,1,1151
1159,幻,,1,1151
2000,效果,各种效果的tag,,
2001,增益,,,2000
200101,加速,,,2001
2002,减益,,,2000
200201,减速,,,2002
200202,流血,,,2002
200203,燃烧,,,2002
200204,感电,,,2002
2003,一般异常,,,2000
200301,沉默,,,2003
200302,眩晕,,,2003
2004,元素异常,,,2000
200401,时属性异常,,,2004
200402,空属性异常,,,2004
200403,幻属性异常,,,2004
